,FYQ,FY,Q,スーパーマリオ 3Dワールド,New スーパーマリオブラザーズ U,New スーパールイージ U,Wii Party U,ゼルダの伝説 風のタクト HD,マリオカート8,大乱闘スマッシュブラザーズ for Wii U,Nintendo Land,Splatoon,スーパーマリオメーカー,ヨッシー ウールワールド,ゼルダの伝説 ブレス オブ ザ ワイルド,スーパーマリオ 3Dワールド_quarter,New スーパーマリオブラザーズ U_quarter,New スーパールイージ U_quarter,Wii Party U_quarter,ゼルダの伝説 風のタクト HD_quarter,マリオカート8_quarter,大乱闘スマッシュブラザーズ for Wii U_quarter,Nintendo Land_quarter,Splatoon_quarter,スーパーマリオメーカー_quarter,ヨッシー ウールワールド_quarter,ゼルダの伝説 ブレス オブ ザ ワイルド_quarter,WiiU_jp_sales,WiiU_us_sales,WiiU_others_sales,hard_total_sales
2006-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2007-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2007-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2007-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2008-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2008-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2012-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2012-12-31,2013Q3,2013.0,3.0,,201.0,,,,,,233.0,,,,,,201.0,,,,,,233.0,,,,,83.0,132.0,90.0,305.0
2013-03-31,2013Q4,2013.0,4.0,,215.0,,,,,,260.0,,,,,,14.0,,,,,,27.0,,,,,9.0,19.0,11.0,39.0
2013-06-30,2014Q1,2014.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,1.0,16.0
2013-09-30,2014Q2,2014.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,17.0,0.0,31.0
2013-12-31,2014Q3,2014.0,3.0,194.0,174.0,151.0,124.0,115.0,,,,,,,,194.0,174.0,151.0,124.0,115.0,,,,,,,,60.0,97.0,47.0,204.0
2014-03-31,2014Q4,2014.0,4.0,217.0,201.0,176.0,135.0,122.0,,,,,,,,23.0,27.0,25.0,11.0,7.0,,,,,,,,6.0,9.0,7.0,22.0
2014-06-30,2015Q1,2015.0,1.0,,,,,,282.0,,,,,,,,,,,,282.0,,,,,,,6.0,28.0,17.0,51.0
2014-09-30,2015Q2,2015.0,2.0,,,,,,349.0,,,,,,,,,,,,67.0,,,,,,,11.0,35.0,15.0,61.0
2014-12-31,2015Q3,2015.0,3.0,162.0,,,,,477.0,339.0,135.0,,,,,162.0,,,,,128.0,339.0,135.0,,,,,32.0,101.0,58.0,191.0
2015-03-31,2015Q4,2015.0,4.0,192.0,,,,,511.0,365.0,159.0,,,,,30.0,,,,,34.0,26.0,24.0,,,,,4.0,21.0,10.0,35.0
2015-06-30,2016Q1,2016.0,1.0,,,,,,,,,162.0,,,,,,,,,,,,162.0,,,,15.0,19.0,13.0,47.0
2015-09-30,2016Q2,2016.0,2.0,,,,,,,,,242.0,188.0,,,,,,,,,,,80.0,188.0,,,7.0,36.0,18.0,61.0
2015-12-31,2016Q3,2016.0,3.0,,,,,,213.0,,,406.0,334.0,131.0,,,,,,,213.0,,,164.0,146.0,131.0,,53.0,90.0,56.0,199.0
2016-03-31,2016Q4,2016.0,4.0,,,,,,239.0,115.0,,427.0,352.0,137.0,,,,,,,26.0,115.0,,21.0,18.0,6.0,,5.0,9.0,4.0,18.0
2016-06-30,2017Q1,2017.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,5.0,21.0
2016-09-30,2017Q2,2017.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,13.0,35.0
2016-12-31,2017Q3,2017.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,8.0,19.0
2017-03-31,2017Q4,2017.0,4.0,,,,,,,,,,,,108.0,,,,,,,,,,,,108.0,0.0,0.0,0.0,0.0
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
