key,value
Link’s Crossbow Training,リンクのボウガントレーニング＋Wiiザッパー
MARIO SPORTS MIX,MARIO SPORTS MIX
New　スーパーマリオブラザーズ　Wii,New スーパーマリオブラザーズ Wii
Ｎｅｗ　スーパーマリオブラザーズ　Ｗｉｉ,New スーパーマリオブラザーズ Wii
New スーパーマリオブラザーズ Wii,New スーパーマリオブラザーズ Wii
Ｗｉｉ　Ｆｉｔ,Wii Fit
Wii Fit,Wii Fit
Wii Fit Plus,Wii Fit Plus
Ｗｉｉ　Ｆｉｔ　Ｐｌｕｓ,Wii Fit Plus
Wii　Fit　Plus,Wii Fit Plus
Wii Music,Wii Music
Wii Party,Wii Party
Ｗｉｉ　Ｐａｒｔｙ,Wii Party
Wii Sports,Wii Sports
Wii Sports Resort,Wii Sports Resort
Wiiでやわらかあたま塾,Wiiでやわらかあたま塾
Wiiスポーツ,Wii Sports
Ｗｉｉスポーツ,Wii Sports
Wiiスポーツ リゾート,Wii Sports Resort
Wiiスポーツ　リゾート,Wii Sports Resort
Ｗｉｉスポーツ　リゾート,Wii Sports Resort
Wiiリモコンプラス　バラエティパック,Wiiリモコンプラス バラエティパック
おどる メイドインワリオ,おどる メイドインワリオ
はじめてのＷｉｉ,はじめてのWii
はじめてのWii,はじめてのWii
スーパーペーパーマリオ,スーパーペーパーマリオ
スーパーマリオギャラクシー,スーパーマリオギャラクシー
スーパーマリオギャラクシー 2,スーパーマリオギャラクシー2
スーパーマリオギャラクシー2,スーパーマリオギャラクシー2
スーパーマリオコレクション　スペシャルパック,スーパーマリオコレクション スペシャルパック
スーパーマリオスタジアム ファミリーベースボール,スーパーマリオスタジアム ファミリーベースボール
ゼルダの伝説　スカイウォードソード,ゼルダの伝説 スカイウォードソード
ゼルダの伝説　トワイライトプリンセス,ゼルダの伝説 トワイライトプリンセス
ゼルダの伝説 トワイライトプリンセス,ゼルダの伝説 トワイライトプリンセス
ドンキーコング　リターンズ,ドンキーコング リターンズ
マリオカートＷｉｉ,マリオカートWii
マリオカートWii,マリオカートWii
マリオストライカーズ チャージド,マリオストライカーズ チャージド
マリオストライカーズ　チャージド,マリオストライカーズ チャージド
マリオパーティ8,マリオパーティ8
マリオパーティ８,マリオパーティ8
マリオパーティ９,マリオパーティ9
メトロイドプライム3 コラプション,メトロイドプライム3 コラプション
メトロイドプライム３　コラプション,メトロイドプライム3 コラプション
リンクのボウガントレーニング＋Ｗｉｉザッパー,リンクのボウガントレーニング＋Wiiザッパー
リンクのボウガントレーニング＋Wiiザッパー,リンクのボウガントレーニング＋Wiiザッパー
大乱闘スマッシュブラザーズＸ,大乱闘スマッシュブラザーズX
大乱闘スマッシュブラザーズX,大乱闘スマッシュブラザーズX
星のカービィ Wii,星のカービィ Wii
毛糸のカービィ,毛糸のカービィ
街へいこうよ どうぶつの森,街へいこうよ どうぶつの森